moordemo - Sheet1
kind,capacity,lat,lng
Staple or Inverted-U,2,39.948551,-75.155811
Staple or Inverted-U,2,39.9485044,-75.155822
Staple or Inverted-U,2,39.9484129,-75.155842
Staple or Inverted-U,2,39.9484515,-75.155746
Converted Parking Meter,2,39.9486994,-75.154166
Converted Parking Meter,2,39.9485479,-75.154199
Converted Parking Meter,2,39.9486934,-75.153626
Converted Parking Meter,2,39.9486682,-75.153423
Converted Parking Meter,2,39.9487904,-75.153794
Converted Parking Meter,2,39.9487659,-75.153607
Converted Parking Meter,2,39.9487418,-75.153416
Converted Parking Meter,2,39.9487168,-75.153214
Converted Parking Meter,2,39.9486907,-75.152996
Converted Parking Meter,2,39.9486649,-75.152797
Converted Parking Meter,2,39.9486201,-75.153006
Converted Parking Meter,2,39.9486445,-75.153224
Staple or Inverted-U,2,39.9494835,-75.152627
Staple or Inverted-U,2,39.9494343,-75.152688
Staple or Inverted-U,2,39.9495335,-75.1527
Staple or Inverted-U,2,39.9495494,-75.152749
Converted Parking Meter,2,39.9495384,-75.15291
Staple or Inverted-U,2,39.9494663,-75.152949
Staple or Inverted-U,2,39.9495816,-75.153264
Staple or Inverted-U,2,39.9489057,-75.155734
Staple or Inverted-U,2,39.9489584,-75.155723
Staple or Inverted-U,2,39.9489487,-75.155637
Staple or Inverted-U,2,39.9486233,-75.157413
Converted Parking Meter,2,39.9487079,-75.157395
Staple or Inverted-U,2,39.9484922,-75.157632
Converted Parking Meter,2,39.9485185,-75.157856
Converted Parking Meter,2,39.9485078,-75.157767
Staple or Inverted-U,2,39.9485765,-75.157747
Converted Parking Meter,2,39.9485369,-75.158002
Converted Parking Meter,2,39.9485469,-75.158082
Converted Parking Meter,2,39.9485679,-75.15825
Staple or Inverted-U,2,39.9486295,-75.158172
Staple or Inverted-U,2,39.9486508,-75.158343
Converted Parking Meter,2,39.9485887,-75.158416
Converted Parking Meter,2,39.9486003,-75.158509
Staple or Inverted-U,2,39.948624,-75.158693
Staple or Inverted-U,2,39.9486292,-75.158732
Staple or Inverted-U,2,39.9486343,-75.158772
Staple or Inverted-U,2,39.9486392,-75.15881
Staple or Inverted-U,2,39.9486111,-75.158593
